the shawshank redemption,Frank Darabont,1994
the godfather,francis ford coppola,1972
the dark knight,Christopher Nolan,2008
schindler's list,steven spielberg,1993
pulp fiction,quentin tarantino,1994
the good the bad and the ugly,Sergio Leone,1966
fight club,david fincher,1999
forrest gump,robert Zemeckis,1994
inception,Christopher Nolan,2010
the silence of the lambs,Jonathan Demme,1991
batman begins,christopher nolan,2005
Pulp Fiction,Quentin Tarantino,1994
Nomadland,Chloé zhao,2020
the apartment,billy wilder,1960
Funny Games,Michael Haneke,2007
Ghostbusters,Paul Feig,2016
The Rider,Chloé Zhao,2017
Solaris,Steven Soderbergh,2002
The Godfather,Francis Ford Coppola,1972
Solaris,Andrei Tarkovsky,1972
Funny Games,Michael Haneke,1997
Selma,Ava DuVernay,2014
Ghostbusters,Ivan Reitman,1984
